a,b,c,n,Total Fetches,Total Misses,Miss Rate,Compulsory miss, Conflict miss, Capacity miss
Yes,4,32,64,4,304,12,0.039473684210526314,12,0,0
No,4,32,64,4,304,12,0.039473684210526314,12,0,0
Yes,4,32,64,8,2240,48,0.02142857142857143,48,0,0
No,4,32,64,8,2240,48,0.02142857142857143,48,0,0
Yes,4,32,64,16,17152,192,0.011194029850746268,192,0,0
No,4,32,64,16,17152,192,0.011194029850746268,192,0,0
Yes,4,32,64,32,134144,768,0.0057251908396946565,768,0,0
No,4,32,64,32,134144,768,0.0057251908396946565,768,0,0
Yes,4,32,64,64,1060864,5136,0.0048413368725868725,3072,0,2064
No,4,32,64,64,1060864,5136,0.0048413368725868725,3072,0,2064
Yes,4,32,64,128,4030000,242288,0.060121091811414396,7500,0,234788
No,4,32,64,128,8437760,2135456,0.25308328276699027,12288,1590846,532322
