a,b,c,n,Total Fetches,Total Misses,Miss Rate,Compulsory miss, Conflict miss, Capacity miss
Yes,4,64,16,4,304,7,0.023026315789473683,7,0,0
No,4,64,16,4,304,7,0.023026315789473683,7,0,0
Yes,4,64,16,8,2240,25,0.011160714285714286,25,0,0
No,4,64,16,8,2240,25,0.011160714285714286,25,0,0
Yes,4,64,16,16,17152,97,0.005655317164179104,97,0,0
No,4,64,16,16,17152,97,0.005655317164179104,97,0,0
Yes,4,64,16,32,134144,655,0.0048828125,385,7,263
No,4,64,16,32,134144,654,0.004875357824427481,385,8,261
Yes,4,64,16,64,1060864,35394,0.03336337174227799,1537,0,33857
No,4,64,16,64,1060864,269320,0.2538685448841699,1537,233878,33905
Yes,4,64,16,128,4030000,131352,0.03259354838709677,3751,0,127601
No,4,64,16,128,8437760,2126208,0.2519872572815534,6145,1853569,266494
