a,b,c,n,Total Fetches,Total Misses,Miss Rate,Compulsory miss, Conflict miss, Capacity miss
Yes,2,32,8,4,304,12,0.039473684210526314,12,0,0
No,2,32,8,4,304,12,0.039473684210526314,12,0,0
Yes,2,32,8,8,2240,48,0.02142857142857143,48,0,0
No,2,32,8,8,2240,48,0.02142857142857143,48,0,0
Yes,2,32,8,16,17152,192,0.011194029850746268,192,0,0
No,2,32,8,16,17152,192,0.011194029850746268,192,0,0
Yes,2,32,8,32,134144,5421,0.040411796278625955,768,3020,1633
No,2,32,8,32,134144,7822,0.058310472328244274,768,5414,1640
Yes,2,32,8,64,1060864,85616,0.08070402992277992,3072,14960,67584
No,2,32,8,64,1060864,285000,0.2686489502895753,3072,214350,67578
Yes,2,32,8,128,4030000,262500,0.06513647642679901,7500,0,255000
No,2,32,8,128,8437760,2203392,0.2611347087378641,12288,1658625,532479
