Opt,a,b,c,n,Total Fetches,Total Misses,Miss Rate,Compulsory miss, Conflict miss, Capacity miss
Yes,4,1,8,100,16120000,4200000,0.26054590570719605,120000,0,4080000
No,4,1,8,100,16120000,4199984,0.26054491315136474,120000,188,4079796
Yes,4,2,8,100,8060000,2100000,0.26054590570719605,60000,0,2040000
No,4,2,8,100,8060000,2099992,0.26054491315136474,60000,94,2039898
Yes,4,4,8,100,4030000,1050000,0.26054590570719605,30000,0,1020000
No,4,4,8,100,4030000,1049996,0.26054491315136474,30000,47,1019949
Yes,4,8,8,100,4030000,1050000,0.26054590570719605,30000,0,1020000
No,4,8,8,100,4030000,1049996,0.26054491315136474,30000,5,1019991
Yes,4,16,8,100,4030000,525000,0.13027295285359802,15000,0,510000
No,4,16,8,100,4030000,524998,0.13027245657568237,15000,2,509996
Yes,4,32,8,100,4030000,262500,0.06513647642679901,7500,0,255000
No,4,32,8,100,4030000,262499,0.06513622828784119,7500,0,254999
Yes,4,64,8,100,4030000,131352,0.03259354838709677,3751,0,127601
No,4,64,8,100,4030000,254887,0.06324739454094293,3751,123486,127650
Yes,4,128,8,100,4030000,65727,0.016309429280397022,1876,0,63851
No,4,128,8,100,4030000,1071795,0.265954094292804,1876,0,1069919
Yes,4,256,8,100,4030000,32864,0.008154838709677419,938,0,31926
No,4,256,8,100,4030000,1041146,0.2583488833746898,938,0,1040208
