Opt,a,b,c,n,Total Fetches,Total Misses,Miss Rate,Compulsory miss, Conflict miss, Capacity miss
Yes,2,1,8,100,16120000,4200000,0.26054590570719605,120000,0,4080000
No,2,1,8,100,16120000,4199968,0.2605439205955335,120000,172,4079796
Yes,2,2,8,100,8060000,2100000,0.26054590570719605,60000,0,2040000
No,2,2,8,100,8060000,2099984,0.2605439205955335,60000,86,2039898
Yes,2,4,8,100,4030000,1050000,0.26054590570719605,30000,0,1020000
No,2,4,8,100,4030000,1049992,0.2605439205955335,30000,43,1019949
Yes,2,8,8,100,4030000,1050000,0.26054590570719605,30000,0,1020000
No,2,8,8,100,4030000,1049992,0.2605439205955335,30000,2,1019990
Yes,2,16,8,100,4030000,525000,0.13027295285359802,15000,0,510000
No,2,16,8,100,4030000,524996,0.13027196029776675,15000,1,509995
Yes,2,32,8,100,4030000,262500,0.06513647642679901,7500,0,255000
No,2,32,8,100,4030000,272982,0.06773746898263028,7500,10484,254998
Yes,2,64,8,100,4030000,131352,0.03259354838709677,3751,0,127601
No,2,64,8,100,4030000,356511,0.08846426799007444,3751,225110,127650
Yes,2,128,8,100,4030000,65727,0.016309429280397022,1876,0,63851
No,2,128,8,100,4030000,959366,0.2380560794044665,1876,0,957490
Yes,2,256,8,100,4030000,32864,0.008154838709677419,938,0,31926
No,2,256,8,100,4030000,1041146,0.2583488833746898,938,0,1040208
