Opt,a,b,c,n,Total Fetches,Total Misses,Miss Rate,Compulsory miss, Conflict miss, Capacity miss
Yes,4,1,16,100,16120000,4200000,0.26054590570719605,120000,0,4080000
No,4,1,16,100,16120000,4199824,0.2605349875930521,120000,848,4078976
Yes,4,2,16,100,8060000,2100000,0.26054590570719605,60000,0,2040000
No,4,2,16,100,8060000,2099912,0.2605349875930521,60000,424,2039488
Yes,4,4,16,100,4030000,1050000,0.26054590570719605,30000,0,1020000
No,4,4,16,100,4030000,1049956,0.2605349875930521,30000,212,1019744
Yes,4,8,16,100,4030000,1050000,0.26054590570719605,30000,0,1020000
No,4,8,16,100,4030000,1049956,0.2605349875930521,30000,8,1019948
Yes,4,16,16,100,4030000,525000,0.13027295285359802,15000,0,510000
No,4,16,16,100,4030000,524978,0.13026749379652605,15000,3,509975
Yes,4,32,16,100,4030000,262500,0.06513647642679901,7500,0,255000
No,4,32,16,100,4030000,262489,0.06513374689826303,7500,1,254988
Yes,4,64,16,100,4030000,131352,0.03259354838709677,3751,0,127601
No,4,64,16,100,4030000,131396,0.03260446650124069,3751,1,127644
Yes,4,128,16,100,4030000,65727,0.016309429280397022,1876,0,63851
No,4,128,16,100,4030000,162189,0.0402454094292804,1876,96389,63924
Yes,4,256,16,100,4030000,32864,0.008154838709677419,938,0,31926
No,4,256,16,100,4030000,1017695,0.252529776674938,938,0,1016757
