Opt,a,b,c,n,Total Fetches,Total Misses,Miss Rate,Compulsory miss, Conflict miss, Capacity miss
No,1,128,8,100,4030000,125756,0.031204962779156,1876,60029,63851
No,1,128,8,100,4030000,955306,0.237048635235732,1876,30648,922782
No,2,128,8,100,4030000,65727,0.016309429280397,1876,0,63851
No,2,128,8,100,4030000,959366,0.238056079404466,1876,0,957490
No,4,128,8,100,4030000,65727,0.016309429280397,1876,0,63851
No,4,128,8,100,4030000,1071795,0.265954094292804,1876,0,1069919
Yes,8,128,8,100,4030000,65727,0.016309429280397,1876,0,63851
Yes,8,128,8,100,4030000,1072425,0.266110421836228,1876,0,1070549
Yes,16,128,8,100,4030000,65727,0.016309429280397,1876,0,63851
Yes,16,128,8,100,4030000,1072425,0.266110421836228,1876,0,1070549
Yes,32,128,8,100,4030000,65727,0.016309429280397,1876,0,63851
Yes,32,128,8,100,4030000,1072425,0.266110421836228,1876,0,1070549
