Opt,a,b,c,n,Total Fetches,Total Misses,Miss Rate,Compulsory miss, Conflict miss, Capacity miss
No,1,128,4,100,4030000,197154,0.04892158808933,1876,131427,63851
No,1,128,4,100,4030000,1132303,0.280968486352357,1876,59878,1070549
No,2,128,4,100,4030000,93551,0.02321364764268,1876,27824,63851
No,2,128,4,100,4030000,1088757,0.270163027295285,1876,16332,1070549
No,4,128,4,100,4030000,65727,0.016309429280397,1876,0,63851
No,4,128,4,100,4030000,1072425,0.266110421836228,1876,0,1070549
Yes,8,128,4,100,4030000,65727,0.016309429280397,1876,0,63851
Yes,8,128,4,100,4030000,1072425,0.266110421836228,1876,0,1070549
Yes,16,128,4,100,4030000,65727,0.016309429280397,1876,0,63851
Yes,16,128,4,100,4030000,1072425,0.266110421836228,1876,0,1070549
Yes,32,128,4,100,4030000,65727,0.016309429280397,1876,0,63851
Yes,32,128,4,100,4030000,1072425,0.266110421836228,1876,0,1070549
