Opt,a,b,c,n,Total Fetches,Total Misses,Miss Rate,Compulsory miss, Conflict miss, Capacity miss
Yes,1,64,4,100,4030000,212137,0.052639454094292805,3751,80785,127601
No,1,64,4,100,4030000,993685,0.24657196029776676,3751,28649,961285
Yes,2,64,4,100,4030000,140869,0.034955086848635235,3751,9517,127601
No,2,64,4,100,4030000,1108133,0.27497096774193547,3751,3956,1100426
Yes,4,64,4,100,4030000,131352,0.03259354838709677,3751,0,127601
No,4,64,4,100,4030000,1134950,0.2816253101736973,3751,0,1131199
Yes,8,64,4,100,4030000,131352,0.03259354838709677,3751,0,127601
No,8,64,4,100,4030000,1134950,0.2816253101736973,3751,0,1131199
Yes,16,64,4,100,4030000,131352,0.03259354838709677,3751,0,127601
No,16,64,4,100,4030000,1134950,0.2816253101736973,3751,0,1131199
Yes,32,64,4,100,4030000,131352,0.03259354838709677,3751,0,127601
No,32,64,4,100,4030000,1134950,0.2816253101736973,3751,0,1131199
