Opt,a,b,c,n,Total Fetches,Total Misses,Miss Rate,Compulsory miss, Conflict miss, Capacity miss
Yes,4,32,1,100,4030000,510000,0.12655086848635236,7500,0,502500
Yes,4,32,1,100,4030000,1260000,0.31265508684863524,7500,0,1252500
Yes,4,32,2,100,4030000,270262,0.06706253101736973,7500,7762,255000
Yes,4,32,2,100,4030000,1260000,0.31265508684863524,7500,0,1252500
Yes,4,32,4,100,4030000,262500,0.06513647642679901,7500,0,255000
Yes,4,32,4,100,4030000,411261,0.10204987593052109,7500,148761,255000
Yes,4,32,8,100,4030000,262500,0.06513647642679901,7500,0,255000
Yes,4,32,8,100,4030000,262499,0.06513622828784119,7500,0,254999
Yes,4,32,16,100,4030000,262500,0.06513647642679901,7500,0,255000
Yes,4,32,16,100,4030000,262489,0.06513374689826303,7500,1,254988
Yes,4,32,32,100,4030000,262500,0.06513647642679901,7500,0,255000
Yes,4,32,32,100,4030000,262400,0.06511166253101737,7500,0,254900
Yes,4,32,64,100,4030000,242288,0.060121091811414396,7500,0,234788
Yes,4,32,64,100,4030000,241591,0.05994813895781638,7500,0,234091
Yes,4,32,128,100,4030000,13976,0.0034679900744416874,7500,0,6476
Yes,4,32,128,100,4030000,13548,0.003361786600496278,7500,0,6048
Yes,4,32,256,100,4030000,7500,0.0018610421836228288,7500,0,0
Yes,4,32,256,100,4030000,7500,0.0018610421836228288,7500,0,0
