Opt,a,b,c,n,Total Fetches,Total Misses,Miss Rate,Compulsory miss, Conflict miss, Capacity miss
Yes,2,32,1,100,4030000,491759,0.12202456575682383,7500,9720,474539
Yes,2,32,1,100,4030000,1266804,0.31434342431761786,7500,6804,1252500
Yes,2,32,2,100,4030000,273265,0.0678076923076923,7500,10765,255000
Yes,2,32,2,100,4030000,1261820,0.31310669975186106,7500,1820,1252500
Yes,2,32,4,100,4030000,267842,0.0664620347394541,7500,5342,255000
Yes,2,32,4,100,4030000,613724,0.15228883374689825,7500,351224,255000
Yes,2,32,8,100,4030000,262500,0.06513647642679901,7500,0,255000
Yes,2,32,8,100,4030000,272982,0.06773746898263028,7500,10484,254998
Yes,2,32,16,100,4030000,262500,0.06513647642679901,7500,0,255000
Yes,2,32,16,100,4030000,267708,0.0664287841191067,7500,5240,254968
Yes,2,32,32,100,4030000,262500,0.06513647642679901,7500,0,255000
Yes,2,32,32,100,4030000,264910,0.06573449131513648,7500,2623,254787
Yes,2,32,64,100,4030000,158126,0.039237220843672455,7500,0,150626
Yes,2,32,64,100,4030000,158328,0.03928734491315136,7500,1279,149549
Yes,2,32,128,100,4030000,16843,0.004179404466501241,7500,2722,6621
Yes,2,32,128,100,4030000,16795,0.004167493796526055,7500,2899,6396
Yes,2,32,256,100,4030000,7500,0.0018610421836228288,7500,0,0
Yes,2,32,256,100,4030000,7500,0.0018610421836228288,7500,0,0
